"","GEO.id","GEO.id2","GEO.display.label","Total_Pop","Male","Female","Age_0_14","Age_15_24","Age_25_64","Age_65_older","White_NonHisp","Black_NonHisp","Asian","Hisp","OtherRace","Median_Income_and_Benefits","Pct_Fam_Below_PovLine","Unemp_Rate"
"39","1400000US17031030703",17031030703,"Census Tract 307.03, Cook County, Illinois",2668,1205,1463,95,163,1764,646,1756,489,222,201,0,"36506","10.8","6.8"
"40","1400000US17031030706",17031030706,"Census Tract 307.06, Cook County, Illinois",3297,1276,2021,207,122,2018,950,1718,516,564,378,121,"42041","9.0","2.9"
"41","1400000US17031030800",17031030800,"Census Tract 308, Cook County, Illinois",4693,2346,2347,788,230,3267,408,3265,113,663,520,132,"70652","13.1","5.0"
"42","1400000US17031030900",17031030900,"Census Tract 309, Cook County, Illinois",3181,1505,1676,491,202,2213,275,2026,92,440,516,107,"70469","1.0","3.8"
"43","1400000US17031031000",17031031000,"Census Tract 310, Cook County, Illinois",3240,1414,1826,186,422,2431,201,2139,132,186,676,107,"57206","4.5","5.1"
"44","1400000US17031031100",17031031100,"Census Tract 311, Cook County, Illinois",4528,2538,1990,478,273,3382,395,2339,179,818,1100,92,"58972","8.5","2.8"
"45","1400000US17031031200",17031031200,"Census Tract 312, Cook County, Illinois",5402,3295,2107,643,618,3592,549,1847,1950,804,558,243,"17861","39.0","7.3"
"46","1400000US17031031300",17031031300,"Census Tract 313, Cook County, Illinois",6707,3596,3111,657,442,4517,1091,2726,1571,1571,575,264,"34286","24.9","8.3"
"47","1400000US17031031400",17031031400,"Census Tract 314, Cook County, Illinois",5261,2303,2958,256,473,3553,979,3969,372,386,362,172,"65804","1.5","2.7"
"48","1400000US17031031501",17031031501,"Census Tract 315.01, Cook County, Illinois",4231,2322,1909,527,516,2561,627,1236,1357,921,670,47,"24167","41.1","8.2"
"49","1400000US17031031502",17031031502,"Census Tract 315.02, Cook County, Illinois",4888,2568,2320,751,654,3174,309,1515,2016,267,780,310,"25246","32.7","3.5"
"50","1400000US17031031700",17031031700,"Census Tract 317, Cook County, Illinois",6569,3813,2756,705,574,4907,383,3932,1323,552,750,12,"41150","19.7","6.2"
"51","1400000US17031031800",17031031800,"Census Tract 318, Cook County, Illinois",1821,1042,779,228,140,1380,73,1269,38,132,364,18,"52188","7.8","1.3"
"52","1400000US17031031900",17031031900,"Census Tract 319, Cook County, Illinois",2320,1299,1021,261,272,1653,134,1556,284,242,174,64,"62564","7.7","6.0"
"53","1400000US17031032100",17031032100,"Census Tract 321, Cook County, Illinois",6921,3593,3328,550,999,4647,725,4713,913,384,887,24,"47175","11.4","7.8"
"54","1400000US17031040100",17031040100,"Census Tract 401, Cook County, Illinois",4227,2338,1889,604,506,2687,430,2461,246,412,883,225,"67414","10.1","8.6"
"55","1400000US17031040201",17031040201,"Census Tract 402.01, Cook County, Illinois",6056,2931,3125,745,739,3967,605,3971,132,658,1143,152,"57043","13.6","7.1"
"56","1400000US17031040202",17031040202,"Census Tract 402.02, Cook County, Illinois",6999,3461,3538,1232,618,4481,668,3176,713,1921,1082,107,"50156","10.7","6.8"
"57","1400000US17031040300",17031040300,"Census Tract 403, Cook County, Illinois",2499,1264,1235,440,237,1369,453,1117,231,750,330,71,"57829","4.4","3.1"
"58","1400000US17031040401",17031040401,"Census Tract 404.01, Cook County, Illinois",2856,1302,1554,361,238,1810,447,2002,106,220,400,128,"66845","13.7","4.0"
"59","1400000US17031040402",17031040402,"Census Tract 404.02, Cook County, Illinois",4624,2438,2186,547,325,3374,378,2792,200,316,1086,230,"60100","6.3","4.9"
"60","1400000US17031040600",17031040600,"Census Tract 406, Cook County, Illinois",2612,1244,1368,363,401,1644,204,1741,33,131,652,55,"65962","5.5","2.1"
"61","1400000US17031040700",17031040700,"Census Tract 407, Cook County, Illinois",2957,1541,1416,303,168,2335,151,2122,98,138,572,27,"62049","2.3","5.7"
"62","1400000US17031040800",17031040800,"Census Tract 408, Cook County, Illinois",1627,779,848,170,177,1091,189,1276,39,93,144,75,"67212","2.0","5.9"
"63","1400000US17031040900",17031040900,"Census Tract 409, Cook County, Illinois",1861,866,995,156,113,1408,184,1371,9,66,316,99,"53125","1.5","0.5"
"64","1400000US17031050100",17031050100,"Census Tract 501, Cook County, Illinois",2220,1077,1143,330,119,1625,146,1794,63,183,171,9,"73056","1.9","4.1"
"65","1400000US17031050200",17031050200,"Census Tract 502, Cook County, Illinois",4779,2322,2457,728,403,3023,625,3193,54,328,1147,57,"64746","1.0","4.0"
"66","1400000US17031050300",17031050300,"Census Tract 503, Cook County, Illinois",2352,1109,1243,316,244,1536,256,2015,0,79,201,57,"76974","0.0","7.2"
"67","1400000US17031050500",17031050500,"Census Tract 505, Cook County, Illinois",5179,2644,2535,987,421,3368,403,4358,14,93,402,312,"91458","1.0","1.5"
"68","1400000US17031050600",17031050600,"Census Tract 506, Cook County, Illinois",2243,1260,983,273,200,1671,99,1931,38,68,182,24,"90972","2.1","0.6"
"69","1400000US17031050700",17031050700,"Census Tract 507, Cook County, Illinois",1635,720,915,280,98,1199,58,1291,111,0,171,62,"84906","4.2","2.6"
"70","1400000US17031050800",17031050800,"Census Tract 508, Cook County, Illinois",1376,761,615,276,107,950,43,1112,0,49,168,47,"115658","6.6","4.8"
"71","1400000US17031050900",17031050900,"Census Tract 509, Cook County, Illinois",1601,793,808,364,68,1067,102,1395,0,92,90,24,"103611","6.5","2.7"
"72","1400000US17031051000",17031051000,"Census Tract 510, Cook County, Illinois",1393,710,683,176,67,1092,58,1122,0,117,140,14,"94268","1.9","2.1"
"73","1400000US17031051100",17031051100,"Census Tract 511, Cook County, Illinois",1561,713,848,193,324,950,94,1268,96,39,121,37,"77083","1.3","4.8"
"74","1400000US17031051200",17031051200,"Census Tract 512, Cook County, Illinois",1736,955,781,291,124,1302,19,1511,32,83,83,27,"82500","14.6","1.5"
"75","1400000US17031051300",17031051300,"Census Tract 513, Cook County, Illinois",2924,1291,1633,561,222,2039,102,2349,17,166,334,58,"135234","3.0","5.0"
"76","1400000US17031051400",17031051400,"Census Tract 514, Cook County, Illinois",2398,1312,1086,496,244,1561,97,1515,349,142,342,50,"72586","7.7","7.5"
"77","1400000US17031060100",17031060100,"Census Tract 601, Cook County, Illinois",2851,1378,1473,583,298,1855,115,2047,197,52,525,30,"92579","7.9","6.6"
"78","1400000US17031060200",17031060200,"Census Tract 602, Cook County, Illinois",1864,823,1041,137,198,1424,105,1379,17,168,290,10,"51614","14.6","9.4"
"79","1400000US17031060300",17031060300,"Census Tract 603, Cook County, Illinois",3190,1606,1584,715,402,1996,77,2949,11,76,154,0,"110247","0.9","3.4"
"80","1400000US17031060400",17031060400,"Census Tract 604, Cook County, Illinois",4163,2080,2083,903,631,2522,107,3574,0,103,463,23,"102794","3.8","4.5"
"81","1400000US17031060500",17031060500,"Census Tract 605, Cook County, Illinois",1152,492,660,105,181,532,334,985,38,51,74,4,"53000","4.3","2.8"
"82","1400000US17031060800",17031060800,"Census Tract 608, Cook County, Illinois",4727,2346,2381,271,469,3420,567,3554,266,658,223,26,"64718","3.7","3.5"
"83","1400000US17031060900",17031060900,"Census Tract 609, Cook County, Illinois",6098,2904,3194,268,622,4665,543,3948,353,657,903,237,"52511","0.0","2.2"
"84","1400000US17031061000",17031061000,"Census Tract 610, Cook County, Illinois",1757,920,837,134,502,1082,39,1420,22,87,168,60,"77083","12.3","3.3"
"85","1400000US17031061100",17031061100,"Census Tract 611, Cook County, Illinois",1203,559,644,41,350,787,25,1139,0,41,23,0,"81667","7.0","5.5"
"86","1400000US17031061200",17031061200,"Census Tract 612, Cook County, Illinois",2081,785,1296,244,417,1335,85,1810,17,102,51,101,"95238","0.0","1.7"
"87","1400000US17031061500",17031061500,"Census Tract 615, Cook County, Illinois",1878,871,1007,91,214,1493,80,1648,0,22,181,27,"92702","0.0","5.2"
"88","1400000US17031061800",17031061800,"Census Tract 618, Cook County, Illinois",985,484,501,20,254,657,54,843,12,42,88,0,"48558","5.4","5.3"
"89","1400000US17031061901",17031061901,"Census Tract 619.01, Cook County, Illinois",3834,2051,1783,355,356,2773,350,2799,174,197,459,205,"47451","10.9","4.0"
"90","1400000US17031061902",17031061902,"Census Tract 619.02, Cook County, Illinois",4403,2177,2226,171,693,2899,640,3626,138,365,235,39,"54528","0.0","3.7"
"91","1400000US17031062000",17031062000,"Census Tract 620, Cook County, Illinois",2631,1435,1196,142,348,2057,84,2181,55,144,190,61,"76229","0.0","1.6"
"92","1400000US17031062100",17031062100,"Census Tract 621, Cook County, Illinois",3236,1532,1704,171,715,2230,120,2550,20,341,288,37,"78785","10.3","7.6"
"93","1400000US17031062200",17031062200,"Census Tract 622, Cook County, Illinois",2926,1428,1498,217,536,2173,0,2414,20,148,262,82,"99541","1.6","1.4"
"94","1400000US17031062300",17031062300,"Census Tract 623, Cook County, Illinois",1681,877,804,285,202,1176,18,1545,0,50,57,29,"103750","8.7","6.3"
"95","1400000US17031062400",17031062400,"Census Tract 624, Cook County, Illinois",1850,894,956,276,220,1273,81,1575,17,86,163,9,"120278","0.0","0.7"
"96","1400000US17031062500",17031062500,"Census Tract 625, Cook County, Illinois",1408,808,600,161,149,1098,0,1156,45,100,81,26,"109750","0.0","4.5"
"97","1400000US17031062600",17031062600,"Census Tract 626, Cook County, Illinois",2238,1134,1104,489,94,1578,77,1738,9,160,308,23,"97500","8.8","3.7"
"98","1400000US17031062700",17031062700,"Census Tract 627, Cook County, Illinois",2541,1405,1136,274,272,1881,114,2186,21,65,165,104,"101863","0.0","0.4"
"99","1400000US17031062800",17031062800,"Census Tract 628, Cook County, Illinois",3541,2032,1509,477,505,2411,148,2708,251,188,357,37,"99732","0.9","4.5"
"100","1400000US17031062900",17031062900,"Census Tract 629, Cook County, Illinois",4429,2699,1730,383,1169,2735,142,3885,13,116,366,49,"106002","2.0","2.1"
"101","1400000US17031063000",17031063000,"Census Tract 630, Cook County, Illinois",3469,1659,1810,233,729,2382,125,3057,126,83,100,103,"73578","16.6","3.4"
"102","1400000US17031063100",17031063100,"Census Tract 631, Cook County, Illinois",2166,1076,1090,120,438,1593,15,1722,80,186,143,35,"57895","0.0","4.3"
"103","1400000US17031063200",17031063200,"Census Tract 632, Cook County, Illinois",6517,3023,3494,545,900,4064,1008,4867,353,749,412,136,"56419","8.7","4.7"
"104","1400000US17031063301",17031063301,"Census Tract 633.01, Cook County, Illinois",2298,858,1440,9,311,1699,279,1606,165,383,135,9,"44487","10.5","1.7"
"105","1400000US17031063302",17031063302,"Census Tract 633.02, Cook County, Illinois",3962,1537,2425,164,647,2808,343,3383,49,397,133,0,"67234","0.0","3.7"
"106","1400000US17031063303",17031063303,"Census Tract 633.03, Cook County, Illinois",1282,552,730,29,94,618,541,1187,11,84,0,0,"77453","6.6","4.2"
"107","1400000US17031063400",17031063400,"Census Tract 634, Cook County, Illinois",1907,852,1055,66,309,1484,48,1519,169,95,95,29,"71250","3.2","5.9"
"108","1400000US17031070101",17031070101,"Census Tract 701.01, Cook County, Illinois",4084,1941,2143,551,427,2557,549,3667,104,248,53,12,"63014","0.0","2.4"
"109","1400000US17031070102",17031070102,"Census Tract 701.02, Cook County, Illinois",2292,1295,997,99,322,1722,149,1603,130,225,289,45,"62736","0.0","4.3"
"110","1400000US17031070103",17031070103,"Census Tract 701.03, Cook County, Illinois",1701,770,931,38,400,1223,40,1279,29,209,184,0,"54423","22.0","5.6"
"111","1400000US17031070200",17031070200,"Census Tract 702, Cook County, Illinois",3955,2222,1733,517,672,2473,293,3226,172,296,59,202,"81132","0.0","2.2"
